AUTHOR,TITLE,TEXT TYPE,First Printing Date,Pages
"Aldiss, Brian W.",Starship,Books,1958,226
"Aldiss, Brian W.",Report on Probability A,Books,1967,160
"Anderson, Poul",Orbit Unlimited,Books,1961,162
"Anthony, Piers",Macroscope,Books,1969,482
"Barrett, Jr., Neal | O'Donnell, K.M.",The Gates of Time | Dwellers of the Deep,Books,1970,256
"Bass, T.J.",The Godwhale,Books,1974,290
"Bayley, Barrington J.",The Fall of Chronopolis,Books,1974,178
"Bayley, Barrington J. | Jakes, John",The Star Virus | Mask of Chaos,Books,1970,258
"Benford, Gregory",Time-Scape,Books,1980,386
"Bester, Alfred",Starburst,Short Stories,1958,162
"Blish, James",The Seedling Stars,Books,1957,162
"Blish, James",Midsummer Century,Books,1972,126
"Blish, James",Vor,Books,1958,162
"Blish, James and Robert Lowndes",The Best of James Blish,Anthology,1979,384
"Blish, James",The Duplicated Man,Books,1959,128
"Brown, Frederic",Rogue in Space,Books,1957,178
"Brunner, John",The Dreaming Earth,Books,1963,162
"Bulmer, Kenneth",The Insane City,Books,1971,176
"Bulmer, Kenneth",The Doomsday Men,Books,1965,226
"Bulmer, Kenneth | Glasby, John",The Hunters of Jundagai | Project Jove,Books,1971,254
"Cheetham, Anthony (Ed.)",Science Against Man,Anthology,1970,226
"Clarke, Arthur",The other Side of the Sky,Anthology,1959,162
"Clarke, Arthur C.",The Wind From The Sun,Short Stories,1962,178
"Clarke, Arthur C.",Dolphin Island,Books,1963,146
"Cogswell, Theodore",The Wall Around The World,Books,1962,162
"Cohen, Barney",The night of the toy Dragons,Books,1977,226
"Coney, Michael",Friends Come in Boxes,Books,1973,162
"Coney, Michael G.",Monitor Found in Orbit,Books,1974,178
"Cooper, Edmund",Sea-Horse in the Sky,Books,1978,226
"Cooper, Edmund",The Cloud Walker,Book,1973,226
"DeBrandt, Don",Viral Intelligence,Books,2000,386
"Delany, Samuel R. | Purdom, Tom",Empire Star | The Tree Lord of Imeten,Books,1966,259
"Dick, Philip",Galactic Pot-Healer,Books,1969,146
"Dick, Phillip K.",The Crack in Space,Books,1966,196
"Dickson, Gordon R.",No Room for Man,Books,1962,162
"Dickson, Gordon R.",The Pritcher Mass,Books,1972,162
"Disch, Thomas (Ed.)",The Ruins of Earth,Anthology,1971,290
"Dozois, Gardner and Effinger, George Alec",Nightmare Blue,Books,1975,194
"Duncan, David",Beyond Eden,Books,1955,176
"Elliott, Bruce",Asylum Earth,Books,1968,162
"Elwood, Roger (Ed.)",Future City,Anthology,1973,258
"Farmer, Philip Jose",The Green Odyssey,Books,1957,162
"Farmer, Philip Jose",The Maker of Universes,Books,1965,194
"Fontenay, Charles",The Day the Oceans Overflowed,Books,1964,130
"Gallun, Raymond Z.",Bioblast,Books,1985,242
"Gerrold, David ed.",Alternities,Books,1974,178
"Geston, Mark",Lords of the Starship,Books,1967,162
"Gilliland, Alexis",The End of the Empire,Books,1983,178
"Goldin, Stephen (Ed.)",The Alien Condition,Anthology,1973,226
"Golding, William | Wyndham, John | Peake, Mervyn","Sometime, Never",Anthology,1956,194
"Gotlieb, Phyllis",Sunburst,Books,1964,162
"Greenfield, Irving A.",Waters of Death,Books,1967,162
"Gutteridge, Lindsay",Cold War in a Country Garden,Books,1971,166
"Haiblum, Isidore",The Return,Books,1970,194
"Hamilton, Edmond",The Valley of Creation,Books,1954,162
"Hamilton, Edmond",Doomstar,Books,1966,162
"Harrison, Harry",Deathworld,Books,1960,162
"Harrison, Harry",The Jupiter Legacy,Books,1965,226
"Harrison, Harry (Ed.)",SF: Authors' Choice,Anthology,1968,226
"Harrison, M. John",The Pastel City,Books,1971,162
"Heilein, Robert",Starship troopers,Books,1959,210
"Heine, William C.",Death Wind,Books,1976,257
"High, Philip",The Prodigal Sun,Books,1964,194
"Hodgson, William Hope",The house on the Borderland,Books,1908,162
"Howard, Ivan ed.",Escape to Earth,Anthology,1963,178
"Johannesson, Olof",The End of Man?,Books,1969,130
"Kamin, Nick | Rackham, John",The Herod Men | Dark Planet,Books,1971,258
"Kamin, Nick | Richmond, Walt and Leigh",Earthrim | Phoenix Ship,Books,1969,260
"Kapp, Colin",The Ion War,Books,1978,258
"Kelley, Leo P.",The Accidental Earth,Books,1970,178
"Killus, James",Sunsmoke,Books,1985,194
"Klein, Gerard",The Day Before Tomorrow,Books,1967,130
"Koontz, Dean",The Haunted Earth,Books,1973,196
"Lee, Tanith",Electric Forest,Books,1979,162
"LeGuin, Ursula",City of Illusions,Books,1967,162
"LeGuin, Ursula",The Wind's Twelve Quarters,Short Stories,1975,290
"Leiber, Fritz",The Wanderer,Books,1964,322
"Leinster, Murray",The Wailing Asteroid,Books,1960,146
"Leinster, Murray",The World Is Tabbo,Books,1961,130
"Leinster, Murray",The Planet Explorer,Books,1957,177
"Leinster, Murray",The Monster from Earth's End,Books,1959,178
"Leinster, Murray",Four from Planet 5,Books,1959,162
"Long, Frank Belknap",Lest Earth Be Conquered,Books,1966,146
"Lovecraft, H.P",The Haunter of the Dark and Other Tales,Short Stories,1963,258
"MacAPP, C.C.",Prisoners of the sky,Short Stories,1969,226
"Maine, Charles Eric",He Owned the World,Books,1960,146
"Maine, Charles Eric",The Tide Went Out,Books,1959,162
"Margulies, Leo",Get Out of My Sky,Anthology,1960,176
"Mason, Douglas",Matrix,Books,1970,210
"McAllister, Bruce",Humanity Prime,Books,1971,292
"McIntosh, J.T.",Worlds Apart,Books,1954,194
"McLaughlin, Dean",Dome World,Books,1962,162
"Mead, Shepherd",The Carefully Considered Rape of the World,Books,1965,260
"Merak, A.J.",The Frozen Planet,Books,1968,146
"Merril, Judith",Daughters of Earth,Short Stories,1968,260
"Moskowitz, Sam (Ed.)",Exploring Other Worlds,Anthology,1963,258
"Pesek, Ludek",The Earth is Near,Books,1973,194
"Pohl, Frederik",Alternating Currents,Short Stories,1956,162
"Pohl, Frederik (Ed.)",Star Short Novels,Anthology,1954,178
"Pohl, Frederik & Kornbluth, C.M.",Critical Mass,Books,1977,197
"Robinson, Kim Stanley",Icehenge,Books,1984,274
"Rohmer, Sax",The Day The World Ended,Books,1929,226
"Russ, Joanna",Picnic on Paradise,Books,1968,162
"Saberhagen, Fred",Specimens,Books,1976,226
"Sheckley, Robert",Pilgrimage to Earth,Books,1957,178
"Sheckley, Robert",Untouched by Human Hands,Books,1954,178
"Sherred, T.L.",Alien Island,Books,1970,226
"Shirley, John",City Come A-Walkin',Books,1980,210
"Shwartz, Susan (Ed.)",Habitats,Anthology,1984,230
"Silverberg, Robert",Nightwings,Books,1968,194
"Silverberg, Robert (Ed.)",Dark Stars,Anthology,1969,322
"Silverberg, Robert ed.",The Science Fiction Bestiary,Anthology,1971,258
"Sladek, John",The Muller-Fokker Effect,Books,1971,230
"Sohl, Jerry",Costigan's Needle,Books,1953,178
"Somers, Bart",Beyond the Black Enigma,Books,1965,162
"Spinrad, Norman",The Last Hurrah of the Golden Horde,Short Stories,1970,226
"Spinrad, Norman",A world between,Books,1979,354
"Stewart, George R.",Earth Abides,Books,1949,322
"Tubb, E.C. | Koontz, Dean R.",Toyman | Fear that Man,Books,1969,261
"Tucker, Wilson",Time:X,Short Stories,1954,154
"Tucker, Wilson",The Year of the Quiet Sun,Books,1970,260
"van Vogt A.E. and Hull, E.Mayne",Planets for Sale,Novel,1970,196
"van Vogt, A.E.",Renaissance,Books,1979,196
"van Vogt, A.E.",The Weapon Makers,Books,1979,194
"Vance, Jack",The Brains of Earth | The Many Worlds of Magnus Ridolph,Books,1966,258
"Vinge, Vernor",Grimm's World,Books,1969,180
"Wallace, Ian",The World Asunder,Books,1976,258
"White, Ted",The Spawn of the Death Machine,Books,1968,178
"Wilson, Keith M.D.",Life Form,Books,1992,258
"Winterbotham, Russ",The Red Planet,Books,1962,146
"Wollheim, Donald (Ed.)",the Hidden Planet,Anthology,1959,194
"Wollheim, Donald (Ed.)",More Adventures on other planets,Anthology,1963,194
"Wollheim, Donald (Ed.)",Men on the Moon,Books,1969,196
"Wright, Lan",The Last Hope of Earth,Books,1965,162
"Wylie, Philip",The Smuggled Atom Bomb,Books,1951,130
"Yates, W.R.",Diasporah,Books,1985,322
"Young, Robert F.",The Last Yggdrasill,Books,1982,146